nacionalidades
afegão
sul-africano
albanês
alemão
andorrano
angolano
anguilano
antiguano
antilhano
árabe-saudita
argelino
argentino
arménio
arubano
australiano
austríaco
azeri
baamiano
barenita
bangladechiano
barbadense
belga
belizenho
benineseo
bermudense
bielorrusso
boliviano
bósnio
botsuano
brasileiro
bruneíno
búlgaro
burquino
burundiano
butanês
cabo-verdiano
camaronês
cambojano
canadiano
cazaque
chadiano
chileno
chino
cipriota
colombiano
comoriano
congolês
norte-coreano
sul-coreano
marfinense
costarriquenho
croata
cubano
curaçauense
dinamarquês
jibutiano
dominiquo
egípcio
salvadorenho
emiradense
equatoriano
eritreu
escocês
eslovaco
esloveno
espanhol
micronésio
norte-americano
estoniono
etíope
fijiano
filipino
finlandês
francês
gabonês
gambiano
ganês
georgiano
granadino
grego
guadalupense
guamês
guatemalteco
guianês
guianense
guineano
guinéu-equatoriano
guineense
haitiano
hondurenho
honconguês
húngaro
iemenita
caimanês
cookense
faroense
salomonense
virginense
virginense
indiano
indonésio
inglês
iraniano
iraquiano
irlandês
norte-irlandês
islando
israelense
italiano
jamaicano
japonês
jordano
quiribatiano
kosovar
kuwaitiano
laociano
lesotiano
letão
libanês
liberiano
líbio
listenstainiano
lituano
luxemburguês
macaense
macedónico
malgaxe
malaio
malauiano
maldivo
malinês
maltês
marroquino
martinicano
mauriciano
mauritano
mexicano
birmanês
moçambicano
moldavo
monegasco
mongol
montenegrino
monserratense
namibiano
nauruano
nepalês
nicaraguense
nigerino
nigeriano
norueguês
neocaledónio
neozelandês
omanense
galo
neerlandês
palauano
palestiniano
panamenho
papua
paquistanês
paraguaio
peruano
polinésio
polaco
porto-riquenho
português
catariano
queniano
quirguiz
britânico
centro-africano
(t)checo
taiwanês
congolês
dominicano
romeno
ruandês
russo
são-martinhense
samoano
samoense
santa-luciense
são-cristovense
são-marinhense
são-tomense
são-vicentino
senegalês
serra-leonês
sérvio
seichelense
singapurense
são-martinhense
sírio
somali
cingalês
essuatinianoo
sudanês
sueco
suíço
surinamês
tajique
tailandês
taiwanês
tanzaniano
timorense
togolês
tonganês
trinitário-tobagense
tunisiano
turquense
turquemeno
turco
tuvaluano
ucraniano
ugandense
uruguaio
usbeque
vanuatuense
vaticano
venezuelano
vietnamita
zambiano
zimbabuano
afegãa
sul-africana
albanesa
alemã
andorrana
angolana
anguilana
antiguana
antilhana
árabe-saudita
argelina
argentina
arménia
arubana
australiana
austríaca
azeri
baamiana
barenita
bangladechiana
barbadense
belga
belizenha
beninesea
bermudense
bielorrussa
boliviana
bósnia
botsuana
brasileira
bruneína
búlgara
burquina
burundiana
butanesa
cabo-verdiana
camaronesa
cambojana
canadiana
cazaque
chadiana
chilena
china
cipriota
colombiana
comoriana
congolesa
norte-coreana
sul-coreana
marfinense
costarriquenha
croata
cubana
curaçauense
dinamarquesa
jibutiana
dominiqua
egípcia
salvadorenha
emiradense
equatoriana
eritreia
escocesa
eslovaca
eslovena
espanhola
micronésia
norte-americana
estoniana
etíope
fijiana
filipino
finlandesa
francesa
gabonesa
gambiana
ganesa
georgiana
granadina
grega
guadalupense
guamesa
guatemalteca
guianesa
guianense
guineana
guinéu-equatoriana
guineense
haitiana
hondurenha
honconguesa
húngara
iemenita
caimanesa
cookense
faroense
salomonense
virginense
virginense
indiana
indonésia
inglesa
iraniana
iraquiana
irlandesa
norte-irlandesa
islanda
israelense
italiana
jamaicana
japonesa
jordana
quiribatiana
kosovar
kuwaitiana
laociana
lesotiana
letã
libanesa
liberiana
líbia
listenstainiana
lituana
luxemburguesa
macaense
macedónica
malgaxe
malaia
malauiana
maldiva
malinês
maltesa
marroquina
martinicana
mauriciana
mauritana
mexicana
birmanesa
moçambicana
moldava
monegasca
mongol
montenegrina
monserratense
namibiana
nauruana
nepalesa
nicaraguense
nigerina
nigeriana
norueguesa
neocaledónia
neozelandesa
omanense
gala
neerlandesa
palauana
palestiniana
panamenha
papua
paquistanesa
paraguaia
peruana
polinésia
polaca
porto-riquenha
portuguesa
catariana
queniana
quirguiz
britânica
centro-africana
(t)checa
taiwanesa
congolesa
dominicana
romena
ruandesa
russa
são-martinhense
samoana
samoense
santa-luciense
são-cristovense
são-marinhense
são-tomense
são-vicentina
senegalesa
serra-leonesa
sérvia
seichelense
singapurense
são-martinhense
síria
somali
cingalesa
essuatinianoa
sudanesa
sueca
suíça
surinamesa
tajique
tailandês
taiwanesa
tanzaniana
timorense
togolesa
tonganesa
trinitária-tobagense
tunisiana
turquense
turquemena
turca
tuvaluana
ucraniana
ugandense
uruguaia
usbeque
vanuatuense
vaticana
venezuelana
vietnamita
zambiana
zimbabuana
